species_name,fishbase_code,species_code,a,b,family,genus,trophic_groups_1,trophic_groups_2
paranthias_furcifer,1217,cep_fur,0.01346976,3.043,serranidae,paranthias,pk,plank
chaetodipterus_faber,1024,cha_fab,0.0591,2.26,ephippidae,chaetodipterus,im,minv
chaetodon_striatus,3606,cha_str,0.02222419,3.14,chaetodontidae,chaetodon,is,sinv
chilomycterus_spinosus,57956,chi_spi,0.193426479,2.471790689,diodontidae,chilomycterus,im,minv
chromis_flavicauda,11862,chr_fla,0.017909534,3.290729357,pomacentridae,chromis,pk,plank
chromis_jubauna,50101,chr_jub,0.017909534,3.290729357,pomacentridae,chromis,pk,plank
chromis_limbata,11868,chr_lim,0.017909534,3.290729357,pomacentridae,chromis,pk,plank
clepticus_brasiliensis,60809,cle_bra,0.0144872,3,labridae,clepticus,pk,plank
coryphopterus_glaucofraenum,3844,cor_gla,0.014164639,2.902488013,gobiidae,coryphopterus,om,minv
cryptotomus_roseus,3674,cry_ros,0.016285639,2.990520051,scaridae,cryptotomus,hd,herb_detr
ctenogobius_saepepallens,3864,cte_sae,0.014164639,2.902488013,gobiidae,ctenogobius,im,minv
dactylopterus_volitans,1021,dac_vol,0.0134,2.95,dactylopteridae,dactylopterus,im,minv
hypanus_americana,1747,das_ame,0.00676,3.07,dasyatidae,hypanus,NA,minv
decapterus_macarellus,933,dec_mac,0.01,3.15,carangidae,decapterus,im,minv
decapterus_punctatus,994,dec_pun,0.01,3.15,carangidae,decapterus,pk,plank
decapterus_sp,933,dec_sp,0.01,3.15,carangidae,decapterus,NA,minv
diapterus_auratus,3563,dia_aur,0.00691,3.241,gerreidae,diapterus,im,minv
diodon_hystrix,1022,dio_hys,0.193426479,2.471790689,diodontidae,diodon,im,minv
diplectrum_formosum,1203,dip_for,0.001417552,3.548062049,serranidae,diplectrum,im,minv
diplectrum_radiale,7330,dip_rad,0.001417552,3.548062049,serranidae,diplectrum,im,minv
diplectrum_sp,7330,dip_sp,0.001417552,3.548062049,serranidae,diplectrum,NA,minv
diplodus_argenteus,3574,dip_arg,0.0717,2.951,sparidae,diplodus,om,omni
dules_auriga,12931,dul_aur,0.001417552,3.548062049,serranidae,dules,im,minv
emblemariopsis_signifer,48175,emb_sig,0.007705413,2.962,chaenopsidae,emblemariopsis,im,minv
engraulis_anchoita,1659,eng_anc,0.00479,3.13,engraulidae,engraulis,NA,plank
epinephelus_itajara,16,epi_ita,0.0131,3.056,serranidae,epinephelus,im,mcar
epinephelus_marginatus,6470,epi_mar,0.0091,3.1149,serranidae,epinephelus,im,mcar
epinephelus_morio,17,epi_mor,0.0122,3.035,serranidae,epinephelus,im,mcar
fistularia_tabacaria,3275,fis_tab,0.00056275,3,fistulariidae,fistularia,fc,mcar
gnatholepis_thompsoni,3855,gna_tho,0.017521171,2.826519537,gobiidae,gnatholepis,om,minv
gobiosoma_hemigymnum,59380,gob_hem,0.014164639,2.902488013,gobiidae,gobiosoma,im,minv
gymnothorax_funebris,7546,gym_fun,0.000439441,3.323573107,muraenidae,gymnothorax,fc,mcar
gymnothorax_miliaris,1103,gym_mil,0.000439441,3.323573107,muraenidae,gymnothorax,im,mcar
gymnothorax_moringa,7547,gym_mor,0.000439441,3.323573107,muraenidae,gymnothorax,fc,mcar
gymnothorax_vicinus,7548,gym_vic,0.000439441,3.323573107,muraenidae,gymnothorax,fc,mcar
gymnura_altavela,2577,gym_alt,0.01202,3.08,gymnuridae,gymnura,NA,minv
haemulon_atlanticus,1142,hae_atl,0.039,2.91,haemulidae,haemulon,im,minv
haemulon_aurolineatum,1128,hae_aur,0.0086,3.09,haemulidae,haemulon,im,minv
haemulon_parra,1139,hae_par,0.01987703,2.993,haemulidae,haemulon,im,minv
halichoeres_brasiliensis,61031,hal_bra,0.017459254,2.956821535,labridae,halichoeres,im,minv
halichoeres_poeyi,3666,hal_poe,0.017459254,2.956821535,labridae,halichoeres,im,minv
halichoeres_sazimai,64977,hal_saz,0.017459254,2.956821535,labridae,halichoeres,im,minv
harengula_clupeola,1478,har_clu,0.00933254,3.05,clupeidae,harengula,pk,plank
heteropriacanthus_cruentatus,1150,het_are,0.027934154,2.823128195,priacanthidae,heteropriacanthus,im,minv
hippocampus_reidi,3285,hip_rei,0.001464844,3,syngnathidae,hippocampus,im,minv
holacanthus_ciliaris,3609,hol_cil,0.03367952,2.9,pomacanthidae,holacanthus,is,sinv
holacanthus_tricolor,3610,hol_tri,0.04283379,2.858,pomacanthidae,holacanthus,is,sinv
holocentrus_adscensionis,1061,hol_ads,0.009911928,3.467646855,holocentridae,holocentrus,im,minv
hypleurochilus_fissicornis,52386,hyp_fis,0.014905494,3.017856658,blenniidae,hypleurochilus,om,sinv
hypleurochilus_pseudoaequipinnis,61241,hyp_pse,0.014905494,3.017856658,blenniidae,hypleurochilus,om,minv
hyporthodus_niveatus,1208,hyp_niv,0.001417552,3.548062049,serranidae,hyporthodus,im,mcar
hypsoblennius_invemar,12442,hyp_inv,0.014905494,3.017856658,blenniidae,hypsoblennius,om,omni
kyphosus_sectatrix,2498,kyp_sec,0.019982672,3.036956726,kyphosidae,kyphosus,hm,macroalgivore
kyphosus_sp,5806,kyp_sp,0.019982672,3.036956726,kyphosidae,kyphosus,NA,macroalgivore
kyphosus_vaigiensis,5806,kyp_vai,0.019982672,3.036956726,kyphosidae,kyphosus,hm,macroalgivore
labrisomus_cricota,59789,lab_cri,0.0245149,2.223,labrisomidae,labrisomus,im,minv
labrisomus_nuchipinnis,3735,lab_nuc,0.0245149,2.223,labrisomidae,labrisomus,im,minv
lutjanus_analis,1403,lut_ana,0.0042,3.32,lutjanidae,lutjanus,im,mcar
lutjanus_jocu,154,lut_joc,0.0085,3.2,lutjanidae,lutjanus,im,mcar
malacanthus_plumieri,3541,mal_plu,0.004941974,3,malacanthidae,malacanthus,im,minv
malacoctenus_delalandii,27899,mal_del,0.0245149,2.223,labrisomidae,malacoctenus,im,minv
micrognathus_crinitus,3288,mic_cri,0.001001365,3,syngnathidae,micrognathus,im,minv
mugil_curema,1086,mug_cur,0.00971,3.095,mugilidae,mugil,hd,herb_detr
mycteroperca_acutirostris,9386,myc_acu,0.0113,3.05,serranidae,mycteroperca,fc,mcar
mycteroperca_bonaci,1209,myc_bon,0.0113,3.05,serranidae,mycteroperca,fc,mcar
mycteroperca_interstitialis,1211,myc_int,0.0141,3,serranidae,mycteroperca,fc,mcar
mycteroperca_microlepis,1212,myc_mic,0.0113,3.05,serranidae,mycteroperca,fc,mcar
myrichthys_breviceps,2649,myr_bre,0.00024,3.015,ophichthidae,myrichthys,im,minv
myrichthys_ocellatus,2651,myr_oce,0.00024,3.015,ophichthidae,myrichthys,im,minv
myripristis_jacobus,1063,myr_jac,0.009911928,3.467646855,holocentridae,myripristis,im,minv
narcine_brasiliensis,2551,nar_bra,0.01122,2.9,narcinidae,narcine,NA,minv
nicholsina_usta,1151,nic_ust,0.016285639,2.990520051,scaridae,nicholsina,hd,herb_detr
ocyurus_chrysurus,188,ocy_chr,0.0145,3.032,lutjanidae,ocyurus,im,minv
odontoscion_dentex,1185,odo_den,0.00870938,3.202,sciaenidae,odontoscion,im,minv
ogcocephalus_vespertilio,47677,ogc_ves,0.01537629,3.063,ogcocephalidae,ogcocephalus,im,minv
ogcocephalus_vespertilio,47677,ogo_ves,0.01537629,3.063,ogcocephalidae,ogcocephalus,im,minv
ophioblennius_sp,63067,oph_sp,0.0324,2.379,blenniidae,ophioblennius,NA,herb_detr
orthopristis_ruber,1145,ort_rub,0.0233,3.01,haemulidae,orthopristis,im,minv
pagrus_pagrus,1756,pag_pag,0.0447,2.793,sparidae,pagrus,im,minv
parablennius_marmoreus,3769,par_mar,0.014905494,3.017856658,blenniidae,parablennius,im,minv
parablennius_pilicornis,16962,par_pil,0.014905494,3.017856658,blenniidae,parablennius,im,minv
parablennius_sp,16962,par_sp,0.014905494,3.017856658,blenniidae,parablennius,NA,minv
paraclinus_spectator,59745,par_spe,0.0245149,2.223,labrisomidae,paraclinus,im,minv
pareques_acuminatus,3583,par_acu,0.00870938,3.202,sciaenidae,pareques,im,minv
pempheris_schomburgkii,3593,pem_sch,0.0119,3.026,pempheridae,pempheris,pk,plank
pomacanthus_arcuatus,1117,pom_arc,0.03446465,2.968,pomacanthidae,pomacanthus,is,omni
pomacanthus_paru,1118,pom_par,0.0203,3.126,pomacanthidae,pomacanthus,is,omni
pomatomus_saltatrix,364,pom_sal,0.01,2.98,pomatomidae,pomatomus,NA,mcar
porichthys_porosissimus,12925,por_por,0.00382,3.326,batrachoididae,porichthys,im,minv
priacanthus_arenatus,1149,pri_are,0.02996599,2.800845855,priacanthidae,priacanthus,fc,mcar
pseudobatos_horkelii,8732,pse_hor,0.00309,3.09,rhinobatidae,pseudobatos,NA,minv
pseudocaranx_dentex,1002,pse_den,0.027095568,2.885977899,carangidae,pseudocaranx,fc,mcar
pseudupeneus_maculatus,1094,pse_mac,0.008,3.18,mullidae,pseudupeneus,im,minv
ptereleotris_randalli,60859,pte_ran,0.030347902,2.581,microdesmidae,ptereleotris,pk,plank
rhomboplites_aurorubens,213,rho_aur,0.01858872,3,lutjanidae,rhomboplites,im,minv
sardinella_brasiliensis,1505,sar_bra,0.003,3.547,clupeidae,sardinella,pk,plank
scartella_cristata,3770,sca_cri,0.014905494,3.017856658,blenniidae,scartella,om,omni
scarus_trispinosus,59493,sca_tri,0.018396276,3.029320796,scaridae,scarus,hd,herb_detr
scarus_zelindae,59490,sca_zel,0.013346043,3.159957025,scaridae,scarus,hd,herb_detr
scomberomorus_sp,120,sco_sp,0.016173995,2.856130971,scombridae,scomberomorus,NA,mcar
scorpaena_brasiliensis,3938,sco_bra,0.0243641,2.949,scorpaenidae,scorpaena,im,minv
scorpaena_plumieri,1201,sco_plu,0.0243641,2.949,scorpaenidae,scorpaena,im,minv
scorpaena_sp,3938,sco_sp,0.0243641,2.949,scorpaenidae,scorpaena,NA,minv
selene_setapinnis,378,sel_set,0.01288,2.95,carangidae,selene,NA,mcar
seriola_dumerili,1005,ser_dum,0.0325,2.87,carangidae,seriola,fc,mcar
seriola_lalandi,382,ser_lal,0.0246,2.845,carangidae,seriola,fc,mcar
seriola_rivoliana,1007,ser_riv,0.0145,3.055,carangidae,seriola,fc,mcar
serranus_atrobranchus,3343,ser_atr,0.01867,2.805,serranidae,serranus,im,minv
serranus_baldwini,3344,ser_bal,0.01867,2.805,serranidae,serranus,im,minv
serranus_flaviventris,12339,ser_fla,0.01867,2.805,serranidae,serranus,im,minv
sparisoma_amplum,59491,spa_amp,0.0121592,3.028,scaridae,sparisoma,hd,herb_detr
sparisoma_axillare,59492,spa_axi,0.0121592,3.028,scaridae,sparisoma,hd,herb_detr
sparisoma_frondosum,61101,spa_fro,0.0121592,3.028,scaridae,sparisoma,hd,herb_detr
sparisoma_radians,3676,spa_rad,0.004680554,3.429,scaridae,sparisoma,hd,herb_detr
sparisoma_sp,59492,spa_sp,0.0121592,3.028,scaridae,sparisoma,NA,herb_detr
sparisoma_tuiupiranga,61816,spa_tui,0.0121592,3.028,scaridae,sparisoma,hd,herb_detr
sphoeroides_greeleyi,5423,sph_gre,0.018,3.05,tetraodontidae,sphoeroides,im,minv
sphoeroides_spengleri,1241,sph_spe,0.018,3.05,tetraodontidae,sphoeroides,is,sinv
sphoeroides_testudineus,1242,sph_tes,0.018,3.05,tetraodontidae,sphoeroides,is,minv
sphyraena_barracuda,1235,sph_bar,0.006170758,3.010950828,sphyraenidae,sphyraena,fc,mcar
sphyraena_guachancho,1236,sph_gua,0.006170758,3.010950828,sphyraenidae,sphyraena,fc,mcar
sphyraena_picudilla,1237,sph_pic,0.006170758,3.010950828,sphyraenidae,sphyraena,fc,mcar
sphyraena_sp,1236,sph_sp,0.006170758,3.010950828,sphyraenidae,sphyraena,NA,mcar
sphyraena_tome,50139,sph_tom,0.00741,2.93,sphyraenidae,sphyraena,NA,mcar
starksia_brasiliensis,48256,sta_bra,0.0245149,2.223,labrisomidae,starksia,im,minv
stegastes_fuscus,3650,ste_fus,0.002813065,4.062943115,pomacentridae,stegastes,hd,herb_detr
stegastes_partitus,3652,ste_par,0.002813065,4.062943115,pomacentridae,stegastes,om,omni
stegastes_pictus,12417,ste_pic,0.002813065,4.062943115,pomacentridae,stegastes,im,minv
stegastes_variabilis,3654,ste_var,0.002813065,4.062943115,pomacentridae,stegastes,hd,herb_detr
stephanolepis_hispidus,4281,ste_his,0.011,3.242,monacanthidae,stephanolepis,om,omni
strongylura_marina,974,str_mar,0.00074,3.13,belonidae,strongylura,fc,mcar
synodus_intermedius,2720,syn_int,0.006350499,3,synodontidae,synodus,fc,mcar
synodus_synodus,2723,syn_syn,0.006350499,3,synodontidae,synodus,fc,mcar
thalassoma_noronhanum,27235,tha_nor,0.017830241,2.977652716,labridae,thalassoma,im,minv
trachinotus_falcatus,1010,tra_fal,0.0453,2.3,carangidae,trachinotus,im,minv
trachinotus_goodei,1011,tra_goo,0.0453,2.3,carangidae,trachinotus,im,minv
