transect_id,species_name,species_code,total_length,abundance
2007_5,epinephelus_marginatus,epi_mar,15,1
2007_5,holocentrus_adscensionis,hol_ads,15,1
2007_5,holocentrus_adscensionis,hol_ads,25,4
2007_5,parablennius_marmoreus,par_mar,5,1
2007_5,parablennius_marmoreus,par_mar,7,1
2007_5,stegastes_fuscus,ste_fus,7,1
2007_6,anisotremus_virginicus,ani_vir,7,1
2007_6,anisotremus_virginicus,ani_vir,15,3
2007_6,azurina_multilineata,azu_mul,7,3
2007_6,diplodus_argenteus,dip_arg,7,9
2007_6,haemulon_aurolineatum,hae_aur,15,1
2007_6,kyphosus_sp,kyp_sp,45,1
2007_6,odontoscion_dentex,odo_den,15,1
2007_6,parablennius_marmoreus,par_mar,5,1
2007_6,parablennius_marmoreus,par_mar,7,2
2007_6,sphoeroides_spengleri,sph_spe,7,2
2007_6,stegastes_fuscus,ste_fus,5,1
2007_6,stegastes_fuscus,ste_fus,7,2
2007_7,anisotremus_virginicus,ani_vir,15,2
2007_7,azurina_multilineata,azu_mul,7,2
2007_7,coryphopterus_glaucofraenum,cor_gla,7,2
2007_7,diplodus_argenteus,dip_arg,15,1
2007_7,mycteroperca_acutirostris,myc_acu,5,1
2007_7,mycteroperca_interstitialis,myc_int,15,1
2007_7,parablennius_marmoreus,par_mar,5,4
2007_7,parablennius_marmoreus,par_mar,7,1
2007_7,sphoeroides_spengleri,sph_spe,15,1
2007_8,abudefduf_saxatilis,abu_sax,7,1
2007_8,abudefduf_saxatilis,abu_sax,15,3
2007_8,abudefduf_saxatilis,abu_sax,20,1
2007_8,anisotremus_virginicus,ani_vir,15,3
2007_8,chaetodon_striatus,cha_str,15,1
2007_8,azurina_multilineata,azu_mul,7,3
2007_8,haemulon_aurolineatum,hae_aur,7,70
2007_8,malacoctenus_delalandii,mal_del,7,4
2007_8,odontoscion_dentex,odo_den,15,1
2007_8,parablennius_marmoreus,par_mar,7,2
2007_8,pomacanthus_paru,pom_par,25,1
2007_8,rhomboplites_aurorubens,rho_aur,15,10
2007_8,sphoeroides_spengleri,sph_spe,5,4
2007_8,sphoeroides_spengleri,sph_spe,7,2
2007_8,stegastes_fuscus,ste_fus,5,1
2007_8,stegastes_fuscus,ste_fus,7,1
2007_9,abudefduf_saxatilis,abu_sax,7,4
2007_9,abudefduf_saxatilis,abu_sax,15,3
2007_9,abudefduf_saxatilis,abu_sax,20,1
2007_9,anisotremus_surinamensis,ani_sur,15,1
2007_9,anisotremus_surinamensis,ani_sur,25,1
2007_9,anisotremus_surinamensis,ani_sur,50,1
2007_9,diplodus_argenteus,dip_arg,15,1
2007_9,epinephelus_marginatus,epi_mar,15,1
2007_9,haemulon_aurolineatum,hae_aur,7,52
2007_9,haemulon_aurolineatum,hae_aur,15,10
2007_9,hypleurochilus_fissicornis,hyp_fis,5,3
2007_9,hypleurochilus_fissicornis,hyp_fis,7,1
2007_9,malacoctenus_delalandii,mal_del,7,1
2007_9,odontoscion_dentex,odo_den,15,2
2007_9,ophioblennius_sp,oph_sp,15,1
2007_9,parablennius_marmoreus,par_mar,5,1
2007_9,parablennius_marmoreus,par_mar,7,2
2007_9,stegastes_fuscus,ste_fus,12,3
2007_10,abudefduf_saxatilis,abu_sax,15,35
2007_10,abudefduf_saxatilis,abu_sax,20,2
2007_10,haemulon_aurolineatum,hae_aur,7,50
2007_10,hypleurochilus_fissicornis,hyp_fis,5,1
2007_10,malacoctenus_delalandii,mal_del,5,1
2007_10,odontoscion_dentex,odo_den,15,1
2007_10,parablennius_marmoreus,par_mar,5,2
2007_10,parablennius_marmoreus,par_mar,7,1
2007_10,parablennius_pilicornis,par_pil,7,1
2007_10,stegastes_fuscus,ste_fus,7,2
2007_10,stegastes_fuscus,ste_fus,12,4
2007_11,abudefduf_saxatilis,abu_sax,15,1
2007_11,anisotremus_virginicus,ani_vir,7,3
2007_11,anisotremus_virginicus,ani_vir,15,1
2007_11,anisotremus_virginicus,ani_vir,25,1
2007_11,diplodus_argenteus,dip_arg,5,30
2007_11,diplodus_argenteus,dip_arg,15,4
2007_11,epinephelus_marginatus,epi_mar,7,1
2007_11,epinephelus_marginatus,epi_mar,15,3
2007_11,epinephelus_marginatus,epi_mar,25,1
2007_11,haemulon_aurolineatum,hae_aur,7,115
2007_11,haemulon_aurolineatum,hae_aur,15,4
2007_11,holocentrus_adscensionis,hol_ads,25,1
2007_11,malacoctenus_delalandii,mal_del,5,1
2007_11,ophioblennius_sp,oph_sp,15,1
2007_11,parablennius_marmoreus,par_mar,5,3
2007_11,parablennius_marmoreus,par_mar,7,3
2007_11,parablennius_pilicornis,par_pil,5,1
2007_11,parablennius_pilicornis,par_pil,7,3
2007_11,stegastes_fuscus,ste_fus,7,1
2007_11,stegastes_fuscus,ste_fus,12,7
2007_12,abudefduf_saxatilis,abu_sax,7,2
2007_12,abudefduf_saxatilis,abu_sax,15,1
2007_12,chaetodon_striatus,cha_str,5,1
2007_12,chaetodon_striatus,cha_str,7,1
2007_12,azurina_multilineata,azu_mul,7,1
2007_12,coryphopterus_glaucofraenum,cor_gla,5,1
2007_12,coryphopterus_glaucofraenum,cor_gla,7,2
2007_12,diplodus_argenteus,dip_arg,7,5
2007_12,epinephelus_marginatus,epi_mar,25,1
2007_12,haemulon_aurolineatum,hae_aur,7,8
2007_12,haemulon_aurolineatum,hae_aur,15,5
2007_12,haemulon_atlanticus,hae_atl,25,1
2007_12,holocentrus_adscensionis,hol_ads,15,1
2007_12,sphoeroides_spengleri,sph_spe,5,1
2007_12,stegastes_fuscus,ste_fus,5,2
2007_12,stegastes_fuscus,ste_fus,7,6
2007_12,stegastes_fuscus,ste_fus,12,3
2007_13,anisotremus_virginicus,ani_vir,7,1
2007_13,coryphopterus_glaucofraenum,cor_gla,5,6
2007_13,coryphopterus_glaucofraenum,cor_gla,7,4
2007_13,diplodus_argenteus,dip_arg,15,1
2007_13,haemulon_aurolineatum,hae_aur,7,42
2007_13,haemulon_aurolineatum,hae_aur,15,2
2007_13,malacoctenus_delalandii,mal_del,5,2
2007_13,parablennius_marmoreus,par_mar,5,2
2007_13,stegastes_fuscus,ste_fus,7,3
2007_14,abudefduf_saxatilis,abu_sax,5,6
2007_14,abudefduf_saxatilis,abu_sax,7,1
2007_14,abudefduf_saxatilis,abu_sax,15,2
2007_14,abudefduf_saxatilis,abu_sax,20,2
2007_14,anisotremus_virginicus,ani_vir,15,2
2007_14,bodianus_rufus,bod_ruf,7,1
2007_14,azurina_multilineata,azu_mul,7,1
2007_14,epinephelus_marginatus,epi_mar,15,1
2007_14,haemulon_aurolineatum,hae_aur,7,62
2007_14,holocentrus_adscensionis,hol_ads,25,1
2007_14,malacoctenus_delalandii,mal_del,5,1
2007_14,malacoctenus_delalandii,mal_del,7,2
2007_14,mycteroperca_acutirostris,myc_acu,25,2
2007_14,parablennius_marmoreus,par_mar,5,1
2007_14,stegastes_fuscus,ste_fus,5,1
2007_14,stegastes_fuscus,ste_fus,7,6
2007_14,stegastes_fuscus,ste_fus,12,3
2007_15,abudefduf_saxatilis,abu_sax,15,2
2007_15,abudefduf_saxatilis,abu_sax,20,3
2007_15,anisotremus_virginicus,ani_vir,30,1
2007_15,diplodus_argenteus,dip_arg,7,3
2007_15,diplodus_argenteus,dip_arg,15,2
2007_15,epinephelus_marginatus,epi_mar,15,2
2007_15,holocentrus_adscensionis,hol_ads,15,1
2007_15,holocentrus_adscensionis,hol_ads,25,1
2007_15,malacoctenus_delalandii,mal_del,5,1
2007_15,mycteroperca_acutirostris,myc_acu,15,1
2007_15,ophioblennius_sp,oph_sp,7,1
2007_15,parablennius_marmoreus,par_mar,5,4
2007_15,parablennius_pilicornis,par_pil,5,1
2007_15,parablennius_pilicornis,par_pil,7,1
2007_15,stegastes_fuscus,ste_fus,5,1
2007_15,stegastes_fuscus,ste_fus,7,2
2007_15,stegastes_fuscus,ste_fus,12,2
2007_15,scartella_cristata,sca_cri,5,6
2007_15,scartella_cristata,sca_cri,7,3
2007_16,abudefduf_saxatilis,abu_sax,15,10
2007_16,abudefduf_saxatilis,abu_sax,20,1
2007_16,anisotremus_virginicus,ani_vir,15,13
2007_16,anisotremus_virginicus,ani_vir,25,3
2007_16,chaetodon_striatus,cha_str,15,1
2007_16,coryphopterus_glaucofraenum,cor_gla,5,1
2007_16,diplodus_argenteus,dip_arg,7,4
2007_16,diplodus_argenteus,dip_arg,15,18
2007_16,haemulon_atlanticus,hae_atl,15,2
2007_16,haemulon_atlanticus,hae_atl,25,1
2007_16,holocentrus_adscensionis,hol_ads,15,1
2007_16,malacoctenus_delalandii,mal_del,7,2
2007_16,pareques_acuminatus,par_acu,15,1
2007_16,pomacanthus_paru,pom_par,15,2
2007_16,sphoeroides_spengleri,sph_spe,7,1
2007_16,stegastes_fuscus,ste_fus,7,1
2007_16,stegastes_fuscus,ste_fus,12,1
2007_16,scartella_cristata,sca_cri,5,1
2007_17,anisotremus_virginicus,ani_vir,15,2
2007_17,anisotremus_virginicus,ani_vir,30,1
2007_17,chaetodon_striatus,cha_str,7,1
2007_17,epinephelus_marginatus,epi_mar,25,2
2007_17,holocentrus_adscensionis,hol_ads,25,1
2007_17,holocentrus_adscensionis,hol_ads,30,1
2007_17,malacoctenus_delalandii,mal_del,5,1
2007_17,parablennius_marmoreus,par_mar,7,1
2007_17,stegastes_fuscus,ste_fus,7,7
2007_18,anisotremus_virginicus,ani_vir,25,1
2007_18,chaetodon_striatus,cha_str,15,2
2007_18,coryphopterus_glaucofraenum,cor_gla,5,4
2007_18,coryphopterus_glaucofraenum,cor_gla,7,1
2007_18,diplodus_argenteus,dip_arg,15,2
2007_18,diplodus_argenteus,dip_arg,25,10
2007_18,hyporthodus_niveatus,hyp_niv,5,1
2007_18,haemulon_aurolineatum,hae_aur,7,45
2007_18,haemulon_aurolineatum,hae_aur,15,5
2007_18,pomacanthus_paru,pom_par,7,1
2007_18,pseudocaranx_dentex,pse_den,15,40
2007_18,rhomboplites_aurorubens,rho_aur,15,20
2007_18,stegastes_fuscus,ste_fus,5,2
2007_18,stegastes_fuscus,ste_fus,7,2
2007_18,chaetodipterus_faber,cha_fab,40,1
2007_19,chaetodon_striatus,cha_str,15,1
2007_19,azurina_multilineata,azu_mul,7,1
2007_19,coryphopterus_glaucofraenum,cor_gla,5,1
2007_19,coryphopterus_glaucofraenum,cor_gla,7,1
2007_19,diplodus_argenteus,dip_arg,25,1
2007_19,hyporthodus_niveatus,hyp_niv,5,1
2007_19,haemulon_aurolineatum,hae_aur,15,20
2007_19,kyphosus_sp,kyp_sp,25,40
2007_19,kyphosus_sp,kyp_sp,30,10
2007_19,parablennius_pilicornis,par_pil,5,1
2007_19,parablennius_pilicornis,par_pil,7,1
2007_19,sphoeroides_spengleri,sph_spe,7,2
2007_19,stegastes_fuscus,ste_fus,5,1
2007_20,anisotremus_virginicus,ani_vir,25,2
2007_20,caranx_crysos,car_cry,30,50
2007_20,coryphopterus_glaucofraenum,cor_gla,7,1
2007_20,hyporthodus_niveatus,hyp_niv,5,1
2007_20,haemulon_aurolineatum,hae_aur,15,30
2007_20,kyphosus_sp,kyp_sp,30,70
2007_20,malacoctenus_delalandii,mal_del,7,1
2007_20,odontoscion_dentex,odo_den,25,1
2007_20,parablennius_marmoreus,par_mar,5,1
2007_20,rhomboplites_aurorubens,rho_aur,25,10
2007_20,sphoeroides_spengleri,sph_spe,15,3
2007_20,stegastes_fuscus,ste_fus,7,1
2007_20,stegastes_fuscus,ste_fus,12,2
2007_20,holacanthus_ciliaris,hol_cil,30,1
2007_21,abudefduf_saxatilis,abu_sax,7,40
2007_21,abudefduf_saxatilis,abu_sax,15,30
2007_21,abudefduf_saxatilis,abu_sax,20,5
2007_21,anisotremus_virginicus,ani_vir,15,1
2007_21,anisotremus_virginicus,ani_vir,25,2
2007_21,chaetodon_striatus,cha_str,5,1
2007_21,chaetodon_striatus,cha_str,15,1
2007_21,azurina_multilineata,azu_mul,7,1
2007_21,diplodus_argenteus,dip_arg,25,5
2007_21,epinephelus_marginatus,epi_mar,5,1
2007_21,epinephelus_marginatus,epi_mar,7,1
2007_21,epinephelus_marginatus,epi_mar,15,1
2007_21,haemulon_aurolineatum,hae_aur,7,10
2007_21,haemulon_aurolineatum,hae_aur,15,34
2007_21,mycteroperca_acutirostris,myc_acu,30,1
2007_21,odontoscion_dentex,odo_den,15,2
2007_21,pomacanthus_paru,pom_par,30,1
2007_21,rhomboplites_aurorubens,rho_aur,15,5
2007_21,stegastes_fuscus,ste_fus,5,1
2007_21,stegastes_fuscus,ste_fus,7,3
2007_21,stegastes_fuscus,ste_fus,12,7
2007_22,anisotremus_virginicus,ani_vir,15,1
2007_22,chaetodon_striatus,cha_str,15,1
2007_22,coryphopterus_glaucofraenum,cor_gla,5,1
2007_22,coryphopterus_glaucofraenum,cor_gla,7,14
2007_22,coryphopterus_glaucofraenum,cor_gla,10,5
2007_22,hyporthodus_niveatus,hyp_niv,7,2
2007_22,parablennius_marmoreus,par_mar,5,1
2007_22,sphoeroides_spengleri,sph_spe,15,1
2007_22,stegastes_fuscus,ste_fus,12,1
2007_22,synodus_synodus,syn_syn,7,1
2007_23,haemulon_atlanticus,hae_atl,15,1
2007_23,lutjanus_analis,lut_ana,15,1
2007_23,malacanthus_plumieri,mal_plu,15,4
2007_23,serranus_flaviventris,ser_fla,7,2
2007_24,abudefduf_saxatilis,abu_sax,15,4
2007_24,anisotremus_virginicus,ani_vir,15,3
2007_24,azurina_multilineata,azu_mul,15,2
2007_24,diplodus_argenteus,dip_arg,25,1
2007_24,diplodus_argenteus,dip_arg,15,7
2007_24,epinephelus_marginatus,epi_mar,15,2
2007_24,haemulon_atlanticus,hae_atl,15,1
2007_24,holocentrus_adscensionis,hol_ads,15,1
2007_24,malacoctenus_delalandii,mal_del,7,3
2007_24,parablennius_pilicornis,par_pil,7,2
2007_24,stegastes_fuscus,ste_fus,12,7
2007_24,stegastes_fuscus,ste_fus,5,2
2007_24,pomacanthus_arcuatus,pom_arc,15,2
2007_25,abudefduf_saxatilis,abu_sax,7,1
2007_25,abudefduf_saxatilis,abu_sax,15,3
2007_25,anisotremus_surinamensis,ani_sur,25,1
2007_25,anisotremus_surinamensis,ani_sur,15,1
2007_25,epinephelus_marginatus,epi_mar,15,2
2007_25,haemulon_aurolineatum,hae_aur,15,20
2007_25,malacoctenus_delalandii,mal_del,7,4
2007_25,pareques_acuminatus,par_acu,7,1
2007_25,parablennius_marmoreus,par_mar,5,3
2007_25,parablennius_marmoreus,par_mar,7,6
2007_25,parablennius_pilicornis,par_pil,5,2
2007_25,parablennius_pilicornis,par_pil,7,4
2007_25,stegastes_fuscus,ste_fus,12,14
2007_25,stegastes_fuscus,ste_fus,7,1
2008_1,coryphopterus_glaucofraenum,cor_gla,7,8
2008_1,diplodus_argenteus,dip_arg,15,7
2008_1,epinephelus_marginatus,epi_mar,25,1
2008_1,haemulon_aurolineatum,hae_aur,15,7
2008_1,kyphosus_sp,kyp_sp,30,2
2008_1,pseudupeneus_maculatus,pse_mac,15,1
2008_1,sphoeroides_spengleri,sph_spe,7,1
2008_1,stegastes_fuscus,ste_fus,5,1
2008_1,serranus_flaviventris,ser_fla,10,1
2008_1,sparisoma_amplum,spa_amp,7,1
2008_1,sparisoma_radians,spa_rad,7,1
2008_1,stephanolepis_hispidus,ste_his,15,1
2008_2,anisotremus_virginicus,ani_vir,15,2
2008_2,chaetodon_striatus,cha_str,7,5
2008_2,chaetodon_striatus,cha_str,15,1
2008_2,coryphopterus_glaucofraenum,cor_gla,5,2
2008_2,coryphopterus_glaucofraenum,cor_gla,7,11
2008_2,diplodus_argenteus,dip_arg,7,2
2008_2,diplodus_argenteus,dip_arg,15,1
2008_2,epinephelus_marginatus,epi_mar,25,2
2008_2,pareques_acuminatus,par_acu,5,2
2008_2,parablennius_marmoreus,par_mar,7,1
2008_2,pomacanthus_paru,pom_par,5,1
2008_2,sphoeroides_spengleri,sph_spe,7,1
2008_2,stegastes_fuscus,ste_fus,5,10
2008_2,stegastes_fuscus,ste_fus,7,5
2008_2,halichoeres_poeyi,hal_poe,25,1
2008_3,coryphopterus_glaucofraenum,cor_gla,5,1
2008_3,coryphopterus_glaucofraenum,cor_gla,7,7
2008_3,diplodus_argenteus,dip_arg,25,1
2008_3,haemulon_aurolineatum,hae_aur,15,6
2008_3,hypleurochilus_fissicornis,hyp_fis,5,2
2008_3,mycteroperca_acutirostris,myc_acu,7,1
2008_3,pareques_acuminatus,par_acu,5,1
2008_3,pareques_acuminatus,par_acu,7,1
2008_3,parablennius_marmoreus,par_mar,5,2
2008_3,parablennius_marmoreus,par_mar,7,1
2008_3,sparisoma_radians,spa_rad,7,2
2008_3,stephanolepis_hispidus,ste_his,15,5
2008_3,stephanolepis_hispidus,ste_his,25,1
2008_3,diplectrum_sp,dip_sp,7,5
2008_3,diplectrum_sp,dip_sp,15,1
2008_4,anisotremus_virginicus,ani_vir,25,1
2008_4,diplodus_argenteus,dip_arg,15,1
2008_4,malacoctenus_delalandii,mal_del,7,1
2008_4,mycteroperca_acutirostris,myc_acu,15,1
2008_4,parablennius_marmoreus,par_mar,5,1
2008_4,parablennius_marmoreus,par_mar,7,3
2008_4,sphoeroides_spengleri,sph_spe,7,1
2008_4,stegastes_fuscus,ste_fus,5,1
2008_4,stegastes_fuscus,ste_fus,7,14
2008_4,stegastes_fuscus,ste_fus,12,1
2008_4,sparisoma_radians,spa_rad,7,1
2008_5,anisotremus_virginicus,ani_vir,15,1
2008_5,epinephelus_marginatus,epi_mar,25,1
2008_5,haemulon_aurolineatum,hae_aur,15,4
2008_5,holocentrus_adscensionis,hol_ads,15,1
2008_5,holocentrus_adscensionis,hol_ads,25,1
2008_5,malacoctenus_delalandii,mal_del,7,3
2008_5,parablennius_marmoreus,par_mar,5,1
2008_5,sphoeroides_spengleri,sph_spe,7,1
2008_5,stegastes_fuscus,ste_fus,5,3
2008_5,stegastes_fuscus,ste_fus,7,10
2008_5,stegastes_fuscus,ste_fus,12,6
2008_5,decapterus_macarellus,dec_mac,15,1
2008_5,emblemariopsis_signifer,emb_sig,5,2
2008_6,anisotremus_virginicus,ani_vir,25,1
2008_6,coryphopterus_glaucofraenum,cor_gla,7,5
2008_6,diplodus_argenteus,dip_arg,30,2
2008_6,haemulon_aurolineatum,hae_aur,15,37
2008_6,kyphosus_sp,kyp_sp,25,4
2008_6,mycteroperca_acutirostris,myc_acu,40,1
2008_6,parablennius_marmoreus,par_mar,5,1
2008_6,parablennius_pilicornis,par_pil,7,1
2008_6,stegastes_fuscus,ste_fus,5,2
2008_6,stegastes_fuscus,ste_fus,7,2
2008_6,stegastes_fuscus,ste_fus,12,10
2008_6,halichoeres_poeyi,hal_poe,25,1
2008_6,stephanolepis_hispidus,ste_his,15,1
2008_6,starksia_brasiliensis,sta_bra,5,2
2008_7,anisotremus_virginicus,ani_vir,25,6
2008_7,azurina_multilineata,azu_mul,15,1
2008_7,epinephelus_marginatus,epi_mar,15,1
2008_7,haemulon_aurolineatum,hae_aur,15,150
2008_7,malacoctenus_delalandii,mal_del,7,1
2008_7,mycteroperca_acutirostris,myc_acu,7,1
2008_7,pareques_acuminatus,par_acu,5,1
2008_7,pseudocaranx_dentex,pse_den,25,2
2008_7,stegastes_fuscus,ste_fus,5,1
2008_7,stegastes_fuscus,ste_fus,12,24
2008_7,emblemariopsis_signifer,emb_sig,5,1
2008_7,sphyraena_sp,sph_sp,25,1
2008_8,chaetodon_striatus,cha_str,7,3
2008_8,chaetodon_striatus,cha_str,15,1
2008_8,coryphopterus_glaucofraenum,cor_gla,7,2
2008_8,diplodus_argenteus,dip_arg,15,1
2008_8,haemulon_aurolineatum,hae_aur,15,28
2008_8,malacoctenus_delalandii,mal_del,7,1
2008_8,sphoeroides_spengleri,sph_spe,7,4
2008_8,stephanolepis_hispidus,ste_his,15,3
2008_8,serranus_flaviventris,ser_fla,7,1
2008_8,serranus_flaviventris,ser_fla,10,1
2008_9,anisotremus_virginicus,ani_vir,15,1
2008_9,chaetodon_striatus,cha_str,5,1
2008_9,chaetodon_striatus,cha_str,7,4
2008_9,coryphopterus_glaucofraenum,cor_gla,5,2
2008_9,coryphopterus_glaucofraenum,cor_gla,7,3
2008_9,diplodus_argenteus,dip_arg,15,5
2008_9,epinephelus_marginatus,epi_mar,25,1
2008_9,haemulon_aurolineatum,hae_aur,15,70
2008_9,hypleurochilus_fissicornis,hyp_fis,7,1
2008_9,kyphosus_sp,kyp_sp,25,5
2008_9,kyphosus_sp,kyp_sp,30,2
2008_9,pareques_acuminatus,par_acu,15,1
2008_9,parablennius_marmoreus,par_mar,5,1
2008_9,pseudupeneus_maculatus,pse_mac,15,1
2008_9,sphoeroides_spengleri,sph_spe,7,1
2008_9,stegastes_fuscus,ste_fus,12,1
2008_9,halichoeres_poeyi,hal_poe,15,1
2008_9,serranus_flaviventris,ser_fla,7,1
2008_9,sparisoma_axillare,spa_axi,15,1
2008_9,stephanolepis_hispidus,ste_his,15,2
2008_9,sparisoma_tuiupiranga,spa_tui,7,3
2008_9,sparisoma_tuiupiranga,spa_tui,15,1
2008_10,abudefduf_saxatilis,abu_sax,5,20
2008_10,abudefduf_saxatilis,abu_sax,7,1
2008_10,anisotremus_virginicus,ani_vir,15,1
2008_10,chaetodon_striatus,cha_str,5,1
2008_10,coryphopterus_glaucofraenum,cor_gla,7,1
2008_10,diplodus_argenteus,dip_arg,7,2
2008_10,diplodus_argenteus,dip_arg,15,11
2008_10,haemulon_aurolineatum,hae_aur,5,32
2008_10,haemulon_aurolineatum,hae_aur,15,7
2008_10,kyphosus_sp,kyp_sp,15,2
2008_10,mycteroperca_acutirostris,myc_acu,7,2
2008_10,pseudocaranx_dentex,pse_den,15,1
2008_10,sphoeroides_spengleri,sph_spe,7,2
2008_10,stegastes_fuscus,ste_fus,5,3
2008_10,stegastes_fuscus,ste_fus,7,13
2008_10,stegastes_fuscus,ste_fus,12,2
2008_10,acanthurus_chirurgus,aca_chi,5,1
2008_10,diplectrum_radiale,dip_rad,5,6
2008_10,stegastes_variabilis,ste_var,5,1
2008_11,abudefduf_saxatilis,abu_sax,5,1
2008_11,abudefduf_saxatilis,abu_sax,7,1
2008_11,anisotremus_virginicus,ani_vir,7,1
2008_11,anisotremus_virginicus,ani_vir,15,1
2008_11,chaetodon_striatus,cha_str,7,1
2008_11,epinephelus_marginatus,epi_mar,15,2
2008_11,haemulon_aurolineatum,hae_aur,15,4
2008_11,kyphosus_sp,kyp_sp,15,5
2008_11,mycteroperca_acutirostris,myc_acu,7,1
2008_11,pareques_acuminatus,par_acu,5,1
2008_11,pareques_acuminatus,par_acu,15,1
2008_11,parablennius_marmoreus,par_mar,7,2
2008_11,sphoeroides_spengleri,sph_spe,15,1
2008_11,stegastes_fuscus,ste_fus,5,14
2008_11,stegastes_fuscus,ste_fus,7,21
2008_11,diplectrum_radiale,dip_rad,7,3
2008_11,porichthys_porosissimus,por_por,15,1
2008_12,chaetodon_striatus,cha_str,5,3
2008_12,coryphopterus_glaucofraenum,cor_gla,7,3
2008_12,coryphopterus_glaucofraenum,cor_gla,5,2
2008_12,diplodus_argenteus,dip_arg,15,1
2008_12,haemulon_aurolineatum,hae_aur,7,21
2008_12,hypleurochilus_fissicornis,hyp_fis,5,1
2008_12,malacoctenus_delalandii,mal_del,5,1
2008_12,pseudupeneus_maculatus,pse_mac,7,10
2008_12,sphoeroides_spengleri,sph_spe,15,2
2008_12,sphoeroides_spengleri,sph_spe,7,1
2008_12,stegastes_fuscus,ste_fus,7,7
2008_12,acanthurus_chirurgus,aca_chi,7,1
2008_12,emblemariopsis_signifer,emb_sig,5,1
2008_12,halichoeres_poeyi,hal_poe,7,10
2008_12,halichoeres_poeyi,hal_poe,15,1
2008_12,sparisoma_frondosum,spa_fro,7,1
2008_12,stephanolepis_hispidus,ste_his,15,1
2008_12,sparisoma_tuiupiranga,spa_tui,5,3
2008_12,porichthys_porosissimus,por_por,15,1
2008_13,chaetodon_striatus,cha_str,5,7
2008_13,coryphopterus_glaucofraenum,cor_gla,5,2
2008_13,haemulon_aurolineatum,hae_aur,15,6
2008_13,sphoeroides_spengleri,sph_spe,7,1
2008_13,bothus_ocellatus,bot_oce,7,1
2008_13,stephanolepis_hispidus,ste_his,15,6
2008_13,synodus_synodus,syn_syn,15,1
2008_14,abudefduf_saxatilis,abu_sax,15,8
2008_14,anisotremus_virginicus,ani_vir,15,2
2008_14,chaetodon_striatus,cha_str,7,3
2008_14,diplodus_argenteus,dip_arg,15,5
